수준,어휘,길잡이말,품사,中文,길잡이말,中文,품사,中文,어휘
중급,가정,形成을 이루다,名詞명사,家,을 이루다,形成,명사,名詞,가정06
중급,가정,嘗試這樣做을 해 보다,名詞명사,家,을 해 보다,嘗試這樣做,명사,名詞,가정07
중급,가정주부,生活로 살다,名詞명사,家庭主婦,로 살다,生活,명사,名詞,가정주부
중급,가져다주다,專案물건을,動詞동사,帶來,물건을,專案,동사,動詞,가져다주다
중급,가죽,皮夾克가죽 잠바,名詞명사,皮革,가죽 잠바,皮夾克,명사,名詞,가죽01
중급,가지,擊敗를 꺾다,名詞명사,茄子,를 꺾다,擊敗,명사,名詞,가지01
중급,가짜,用…裝飾로 꾸미다,名詞명사,錯誤的,로 꾸미다,用…裝飾,명사,名詞,가짜
중급,가치,很高가 높다,名詞명사,價值,가 높다,很高,명사,名詞,가치06
중급,가치관,這會改變이 바뀌다,名詞명사,值,이 바뀌다,這會改變,명사,名詞,가치관
중급,가톨릭,相信을 믿다,名詞명사,天主教,을 믿다,相信,명사,名詞,가톨릭
중급,각,單身人士각 개인,決定因素관형사,每個,각 개인,單身人士,관형사,決定因素,각01
중급,각국,亞洲國家아시아 각국,名詞명사,各國,아시아 각국,亞洲國家,명사,名詞,각국
중급,각오,鞏固를 다지다,名詞명사,決心,를 다지다,鞏固,명사,名詞,각오01
중급,각자,每個人都負責각자가 맡다,名詞/副詞명사/부사,每個,각자가 맡다,每個人都負責,명사/부사,名詞/副詞,각자02
중급,각종,各種水果각종 과일,名詞명사,各種各樣的,각종 과일,各種水果,명사,名詞,각종
중급,간,查看을 보다,名詞명사,肝,을 보다,查看,명사,名詞,간01
중급,간,身體신체,名詞명사,肝,신체,身體,명사,名詞,간08
중급,간,首爾和釜山之間서울과 부산 간,從屬名詞의존명사,肝,서울과 부산 간,首爾和釜山之間,의존명사,從屬名詞,간10
중급,-간,兩天이틀간,詞綴접사,-肝,이틀간,兩天,접사,詞綴,-간16
중급,간격,擴大을 넓히다,名詞명사,間隔,을 넓히다,擴大,명사,名詞,간격02
중급,간섭,接收을 받다,名詞명사,干涉,을 받다,接收,명사,名詞,간섭
중급,간신히,僥倖活了下來간신히 살아나다,副詞부사,僅僅,간신히 살아나다,僥倖活了下來,부사,副詞,간신히
중급,간절하다,懇切禱告간절한 기도,形容詞형용사,我絕望了,간절한 기도,懇切禱告,형용사,形容詞,간절하다
중급,간접적,間接影響간접적 영향,形容詞和名詞관형사·명사,間接,간접적 영향,間接影響,관형사·명사,形容詞和名詞,간접적
중급,간지럽다,眼睛눈이,形容詞형용사,癢癢的,눈이,眼睛,형용사,形容詞,간지럽다
중급,간판,懸掛을 걸다,名詞명사,招牌,을 걸다,懸掛,명사,名詞,간판02
중급,간편하다,使用사용이,形容詞형용사,這很方便,사용이,使用,형용사,形容詞,간편하다
중급,간호,接收를 받다,名詞명사,護理,를 받다,接收,명사,名詞,간호
중급,간혹,偶爾會發生간혹 생기다,副詞/名詞부사/명사,偶爾,간혹 생기다,偶爾會發生,부사/명사,副詞/名詞,간혹
중급,갇히다,在監獄감옥에,動詞동사,被限制,감옥에,在監獄,동사,動詞,갇히다
중급,갈다,繃帶붕대를,動詞동사,改變,붕대를,繃帶,동사,動詞,갈다01
중급,갈등,這很嚴重。이 심하다,名詞명사,衝突,이 심하다,這很嚴重。,명사,名詞,갈등
중급,갈라지다,牆벽이,動詞동사,分裂,벽이,牆,동사,動詞,갈라지다01
중급,갈수록,情況越來越糟了갈수록 더하다,副詞부사,隨著時間的流逝,갈수록 더하다,情況越來越糟了,부사,副詞,갈수록
중급,갈증,這就是我。이 나다,名詞명사,口渴,이 나다,這就是我。,명사,名詞,갈증
중급,-감,責任책임감,詞綴접사,-柿子,책임감,責任,접사,詞綴,-감19
중급,감각,沒有이 없다,名詞명사,感覺,이 없다,沒有,명사,名詞,감각02
중급,감다,繃帶붕대를,動詞동사,捲髮,붕대를,繃帶,동사,動詞,감다03
중급,감독,加強을 강화하다,名詞명사,監督,을 강화하다,加強,명사,名詞,감독
중급,감동,接收을 받다,名詞명사,已搬,을 받다,接收,명사,名詞,감동02
중급,감동적,感人的故事감동적 이야기,形容詞和名詞관형사·명사,接觸,감동적 이야기,感人的故事,관형사·명사,形容詞和名詞,감동적
중급,감상,聽音樂음악 감상,名詞명사,欣賞,음악 감상,聽音樂,명사,名詞,감상05
중급,감상문,書評독서 감상문,名詞명사,審查,독서 감상문,書評,명사,名詞,감상문
중급,감소,人口下降인구 감소,名詞명사,減少,인구 감소,人口下降,명사,名詞,감소01
중급,감시,遭受를 당하다,名詞명사,監視,를 당하다,遭受,명사,名詞,감시02
중급,감싸다,臉얼굴을,動詞동사,塞,얼굴을,臉,동사,動詞,감싸다
중급,감옥,限制에 가두다,名詞명사,監獄,에 가두다,限制,명사,名詞,감옥02
중급,감정,這很豐富。이 풍부하다,名詞명사,情緒,이 풍부하다,這很豐富。,명사,名詞,감정06
중급,감추다,外貌모습을,動詞동사,隱藏,모습을,外貌,동사,動詞,감추다
중급,감히,敢於反駁감히 대들다,副詞부사,敢於,감히 대들다,敢於反駁,부사,副詞,감히
중급,갑작스럽다,突發事件갑작스러운 일,形容詞형용사,事情發生得很突然。,갑작스러운 일,突發事件,형용사,形容詞,갑작스럽다
중급,값싸다,玩具값싼 물건,形容詞형용사,便宜的,값싼 물건,玩具,형용사,形容詞,값싸다
중급,강도,銀行搶劫은행 강도,名詞명사,搶劫,은행 강도,銀行搶劫,명사,名詞,강도06
중급,강물,這流이 흐르다,名詞명사,河,이 흐르다,這流,명사,名詞,강물
중급,강사,講解員시간 강사,名詞명사,講師,시간 강사,講解員,명사,名詞,강사04
중급,강수량,有許多이 많다,名詞명사,沉澱,이 많다,有許多,명사,名詞,강수량
중급,강요,父母的脅迫부모의 강요,名詞명사,勒索,부모의 강요,父母的脅迫,명사,名詞,강요01
중급,강의,聽를 듣다,名詞명사,演講,를 듣다,聽,명사,名詞,강의02
중급,강의실,大型階梯教室대형 강의실,名詞명사,課堂,대형 강의실,大型階梯教室,명사,名詞,강의실
중급,강제,訂購로 시키다,名詞명사,強制,로 시키다,訂購,명사,名詞,강제01
중급,강조,強調강조 사항,名詞명사,壓力,강조 사항,強調,명사,名詞,강조02
중급,갖가지,各種形狀갖가지 모양,名詞명사,各種各樣的,갖가지 모양,各種形狀,명사,名詞,갖가지
중급,갖추다,設施시설을,動詞동사,準備,시설을,設施,동사,動詞,갖추다
중급,개구리,捕捉를 잡다,名詞명사,青蛙,를 잡다,捕捉,명사,名詞,개구리
중급,개나리,它盛開了가 피다,名詞명사,連翹,가 피다,它盛開了,명사,名詞,개나리01
중급,개념,理解을 이해하다,名詞명사,概念,을 이해하다,理解,명사,名詞,개념
중급,개다,那一天날이,動詞동사,折疊,날이,那一天,동사,動詞,개다01
중급,개다,衣服옷을,動詞동사,折疊,옷을,衣服,동사,動詞,개다03
중급,개미,昆蟲곤충,名詞명사,螞蟻,곤충,昆蟲,명사,名詞,개미03
중급,개발,人才發展재능 개발,名詞명사,發展,재능 개발,人才發展,명사,名詞,개발
중급,개방,營業時間개방 시간,名詞명사,打開,개방 시간,營業時間,명사,名詞,개방04
중급,개별,個人行動개별 행동,名詞명사,個人,개별 행동,個人行動,명사,名詞,개별
중급,개선,系統改進제도 개선,名詞명사,改進,제도 개선,系統改進,명사,名詞,개선01
중급,개성,這很強。이 강하다,名詞명사,個性,이 강하다,這很強。,명사,名詞,개성03
중급,개인,個人自由개인의 자유,名詞명사,個人,개인의 자유,個人自由,명사,名詞,개인02
중급,개인적,個人感受개인적 감정,形容詞和名詞관형사·명사,個人的,개인적 감정,個人感受,관형사·명사,形容詞和名詞,개인적
중급,개최,共同主辦공동 개최,名詞명사,握住,공동 개최,共同主辦,명사,名詞,개최
중급,개혁,經濟改革경제 개혁,名詞명사,改革,경제 개혁,經濟改革,명사,名詞,개혁
중급,-객,徒步旅行者등산객,詞綴접사,-客人,등산객,徒步旅行者,접사,詞綴,-객02
중급,객관적,客觀證據객관적 증거,形容詞和名詞관형사·명사,客觀的,객관적 증거,客觀證據,관형사·명사,形容詞和名詞,객관적
중급,걔,那個孩子그 아이,縮寫詞줄어든 말,他,그 아이,那個孩子,줄어든 말,縮寫詞,걔
중급,거꾸로,被翻過來거꾸로 뒤집히다,副詞부사,倒掛,거꾸로 뒤집히다,被翻過來,부사,副詞,거꾸로
중급,거대,大規模거대 규모,名詞명사,巨大的,거대 규모,大規模,명사,名詞,거대
중급,거두다,洗衣店빨래를,動詞동사,收割,빨래를,洗衣店,동사,動詞,거두다
중급,거들다,工作일을,動詞동사,協助,일을,工作,동사,動詞,거들다01
중급,거래,待完成가 이루어지다,名詞명사,交易,가 이루어지다,待完成,명사,名詞,거래02
중급,거래처,客戶的員工거래처 직원,名詞명사,通訊員,거래처 직원,客戶的員工,명사,名詞,거래처
중급,거미,昆蟲곤충,名詞명사,蜘蛛,곤충,昆蟲,명사,名詞,거미02
중급,거북이,動物동물,名詞명사,龜,동물,動物,명사,名詞,거북이
중급,거스름돈,接收을 받다,名詞명사,改變,을 받다,接收,명사,名詞,거스름돈
중급,거지,變得가 되다,名詞명사,窮人,가 되다,變得,명사,名詞,거지01
중급,거짓,用…裝飾으로 꾸미다,名詞명사,謊言,으로 꾸미다,用…裝飾,명사,名詞,거짓
중급,거치다,這座城市도시를,動詞동사,透過,도시를,這座城市,동사,動詞,거치다01
중급,거칠다,皮膚的質地살결이,形容詞형용사,粗俗,살결이,皮膚的質地,형용사,形容詞,거칠다
중급,거품,這就是我。이 나다,名詞명사,氣泡,이 나다,這就是我。,명사,名詞,거품
중급,걱정스럽다,孩子자식이,形容詞형용사,我很擔心,자식이,孩子,형용사,形容詞,걱정스럽다
중급,건너,街對面길 건너,名詞명사,穿過,길 건너,街對面,명사,名詞,건너01
중급,건널목,跨界을 건너가다,名詞명사,十字路口,을 건너가다,跨界,명사,名詞,건널목
중급,건네다,錢돈을,動詞동사,跨越,돈을,錢,동사,動詞,건네다
중급,건네주다,錢돈을,動詞동사,交出,돈을,錢,동사,動詞,건네주다
중급,건드리다,專案물건을,動詞동사,觸碰,물건을,專案,동사,動詞,건드리다
중급,건설,公寓大樓아파트 건설,名詞명사,勃起,아파트 건설,公寓大樓,명사,名詞,건설
중급,건전지,研磨를 갈다,名詞명사,電池,를 갈다,研磨,명사,名詞,건전지
중급,건조,乾燥氣候건조 기후,名詞명사,乾燥,건조 기후,乾燥氣候,명사,名詞,건조04
중급,건지다,網그물을,動詞동사,檢索,그물을,網,동사,動詞,건지다
중급,건축,建築工程건축 공사,名詞명사,大樓,건축 공사,建築工程,명사,名詞,건축01
중급,걷다,袖子소매를,動詞동사,走,소매를,袖子,동사,動詞,걷다03
중급,걷다,洗衣店빨래를,動詞동사,走,빨래를,洗衣店,동사,動詞,걷다04
중급,걸레,用濕紙巾擦拭로 닦다,名詞명사,抹布,로 닦다,用濕紙巾擦拭,명사,名詞,걸레01
중급,걸치다,雲層之上구름 위에,動詞동사,覆蓋,구름 위에,雲層之上,동사,動詞,걸치다
중급,검다,顏色색깔이,形容詞형용사,黑色的,색깔이,顏色,형용사,形容詞,검다02
중급,검사,法官和檢察官판사와 검사,名詞명사,測試,판사와 검사,法官和檢察官,명사,名詞,검사02
중급,검색,網路搜尋인터넷 검색,名詞명사,搜尋,인터넷 검색,網路搜尋,명사,名詞,검색
중급,검토,文件審查서류 검토,名詞명사,檢查,서류 검토,文件審查,명사,名詞,검토
중급,겁,吃을 먹다,名詞명사,怯懦,을 먹다,吃,명사,名詞,겁05
중급,겁나다,請講말하기가,動詞동사,我很害怕,말하기가,請講,동사,動詞,겁나다02
중급,겉모습,我只看만 보다,名詞명사,外貌,만 보다,我只看,명사,名詞,겉모습
중급,겉옷,起飛을 벗다,名詞명사,外套,을 벗다,起飛,명사,名詞,겉옷
중급,게,吃를 먹다,名詞명사,螃蟹,를 먹다,吃,명사,名詞,게01
중급,게다가,此外，甚至高達게다가 ~까지,副詞부사,另外,게다가 ~까지,此外，甚至高達,부사,副詞,게다가
중급,게시,張貼通知안내문 게시,名詞명사,郵政,안내문 게시,張貼通知,명사,名詞,게시02
중급,게시판,附著於에 붙이다,名詞명사,公告板,에 붙이다,附著於,명사,名詞,게시판
중급,겨우,僥倖活了下來겨우 살아나다,副詞부사,僅僅,겨우 살아나다,僥倖活了下來,부사,副詞,겨우
중급,겨울철,傳送을 보내다,名詞명사,冬天,을 보내다,傳送,명사,名詞,겨울철
중급,격려,傳送를 보내다,名詞명사,鼓勵,를 보내다,傳送,명사,名詞,격려
중급,겪다,疼痛고통을,動詞동사,體驗,고통을,疼痛,동사,動詞,겪다
중급,견디다,疼痛고통을,動詞동사,忍受,고통을,疼痛,동사,動詞,견디다
중급,견학,參觀博物館박물관 견학,名詞명사,實地考察,박물관 견학,參觀博物館,명사,名詞,견학
중급,견해,意見分歧견해 차이,名詞명사,看法,견해 차이,意見分歧,명사,名詞,견해02
중급,결국,終於完成了결국 해내다,副詞/名詞부사/명사,終於,결국 해내다,終於完成了,부사/명사,副詞/名詞,결국
중급,결근,上班출근,名詞명사,缺席,출근,上班,명사,名詞,결근
중급,결론,降低을 내리다,名詞명사,結論,을 내리다,降低,명사,名詞,결론02
중급,결승,決賽결승 경기,名詞명사,決賽,결승 경기,決賽,명사,名詞,결승01
중급,결제,金融卡支付카드 결제,名詞명사,支付,카드 결제,金融卡支付,명사,名詞,결제01
중급,결코,永遠不要哭泣결코 울지 않다,副詞부사,絕不,결코 울지 않다,永遠不要哭泣,부사,副詞,결코
중급,결합,形成을 이루다,名詞명사,組合,을 이루다,形成,명사,名詞,결합
중급,결혼식장,戶外婚禮場地야외 결혼식장,名詞명사,婚禮大廳,야외 결혼식장,戶外婚禮場地,명사,名詞,결혼식장
중급,겸손,謙遜的話語겸손의 말,名詞명사,謙遜,겸손의 말,謙遜的話語,명사,名詞,겸손
중급,겹치다,祝你好運행운이,動詞동사,彼此疊放,행운이,祝你好運,동사,動詞,겹치다01
중급,경계,建造를 짓다,名詞명사,邊界,를 짓다,建造,명사,名詞,경계04
중급,경고,給를 주다,名詞명사,警告,를 주다,給,명사,名詞,경고04
중급,경기,恢復가 회복되다,名詞명사,遊戲,가 회복되다,恢復,명사,名詞,경기05
중급,경기장,室內體育館실내 경기장,名詞명사,體育場,실내 경기장,室內體育館,명사,名詞,경기장
중급,경력,堆疊을 쌓다,名詞명사,個人歷史,을 쌓다,堆疊,명사,名詞,경력02
중급,경복궁,古老的宮殿고궁,名詞명사,景福宮,고궁,古老的宮殿,명사,名詞,경복궁
중급,경비,差旅費여행 경비,名詞명사,開支,여행 경비,差旅費,명사,名詞,경비02
중급,경비실,公寓保安處아파트 경비실,名詞명사,保全辦公室,아파트 경비실,公寓保安處,명사,名詞,경비실
중급,경영,公司管理회사 경영,名詞명사,管理,회사 경영,公司管理,명사,名詞,경영02
중급,경우,在這種情況下그런 경우,名詞명사,案件,그런 경우,在這種情況下,명사,名詞,경우02
중급,경쟁,同時性경쟁 상대,名詞명사,競賽,경쟁 상대,同時性,명사,名詞,경쟁
중급,경쟁력,提高을 키우다,名詞명사,競爭力,을 키우다,提高,명사,名詞,경쟁력
중급,경제,經濟發展경제 개발,名詞명사,經濟,경제 개발,經濟發展,명사,名詞,경제04
중급,경제력,有이 있다,名詞명사,經濟實力,이 있다,有,명사,名詞,경제력
중급,경제적,經濟能力경제적 능력,形容詞和名詞관형사·명사,經濟的,경제적 능력,經濟能力,관형사·명사,形容詞和名詞,경제적
중급,경찰관,交警교통 경찰관,名詞명사,警官,교통 경찰관,交警,명사,名詞,경찰관
중급,경향,新趨勢새로운 경향,名詞명사,趨勢,새로운 경향,新趨勢,명사,名詞,경향02
중급,곁,是에 있다,名詞명사,鄰裡,에 있다,是,명사,名詞,곁01
중급,계곡,前往에 가다,名詞명사,谷,에 가다,前往,명사,名詞,계곡01
중급,계기,事件的起因사건의 계기,名詞명사,儀表,사건의 계기,事件的起因,명사,名詞,계기04
중급,계산기,計算方法如下로 계산하다,名詞명사,電腦器,로 계산하다,計算方法如下,명사,名詞,계산기
중급,계산대,計算於에서 계산하다,名詞명사,櫃檯,에서 계산하다,計算於,명사,名詞,계산대
중급,계약,總結을 체결하다,名詞명사,合約,을 체결하다,總結,명사,名詞,계약
중급,계약금,接收을 받다,名詞명사,首付,을 받다,接收,명사,名詞,계약금
중급,계약서,寫를 쓰다,名詞명사,合約,를 쓰다,寫,명사,名詞,계약서
중급,계좌,帳號계좌 번호,名詞명사,帳戶,계좌 번호,帳號,명사,名詞,계좌02
중급,계층,上流상류 계층,名詞명사,等級制度,상류 계층,上流,명사,名詞,계층
중급,고객,正確을 맞다,名詞명사,顧客,을 맞다,正確,명사,名詞,고객04
중급,고구마,挖를 캐다,名詞명사,甘藷,를 캐다,挖,명사,名詞,고구마
중급,고국,返回으로 돌아가다,名詞명사,家園,으로 돌아가다,返回,명사,名詞,고국02
중급,고궁,散步을 산책하다,名詞명사,古老的宮殿,을 산책하다,散步,명사,名詞,고궁01
중급,고급,奢華腕錶고급 시계,名詞명사,高階,고급 시계,奢華腕錶,명사,名詞,고급02
중급,고급스럽다,這輛車자동차가,形容詞형용사,豪華,자동차가,這輛車,형용사,形容詞,고급스럽다
중급,고대,古代和現代고대와 현대,名詞명사,世界青年,고대와 현대,古代和現代,명사,名詞,고대04
중급,고독,感覺을 느끼다,名詞명사,孤獨,을 느끼다,感覺,명사,名詞,고독02
중급,고등,更高知識고등 지식,名詞명사,中學,고등 지식,更高知識,명사,名詞,고등02
중급,고등어,烤鯖魚고등어 구이,名詞명사,鯖魚,고등어 구이,烤鯖魚,명사,名詞,고등어
중급,고래,去游泳가 헤엄치다,名詞명사,鯨,가 헤엄치다,去游泳,명사,名詞,고래01
중급,고려,考慮因素고려 사항,名詞명사,考慮,고려 사항,考慮因素,명사,名詞,고려01
중급,고마워하다,致我的父母부모님에게,動詞동사,謝謝,부모님에게,致我的父母,동사,動詞,고마워하다
중급,고무,製作로 만들다,名詞명사,橡皮,로 만들다,製作,명사,名詞,고무01
중급,고백,愛的告白사랑 고백,名詞명사,懺悔,사랑 고백,愛的告白,명사,名詞,고백
중급,고생,忍受을 참다,名詞명사,麻煩,을 참다,忍受,명사,名詞,고생
중급,고소하다,品嚐맛이,形容詞형용사,控,맛이,品嚐,형용사,形容詞,고소하다01
중급,고속,運行으로 달리다,名詞명사,高速,으로 달리다,運行,명사,名詞,고속02
중급,고요,打破를 깨트리다,名詞명사,仍然,를 깨트리다,打破,명사,名詞,고요01
중급,고유,本地食物고유 음식,名詞명사,固有,고유 음식,本地食物,명사,名詞,고유03
중급,고장,我們的小鎮우리 고장,名詞명사,分解,우리 고장,我們的小鎮,명사,名詞,고장01
중급,고전,經典小說고전 소설,名詞명사,古典,고전 소설,經典小說,명사,名詞,고전02
중급,고정,固定收益고정 수입,名詞명사,使固定,고정 수입,固定收益,명사,名詞,고정06
중급,고집,胡鬧을 부리다,名詞명사,持久性,을 부리다,胡鬧,명사,名詞,고집02
중급,고추,選擇를 따다,名詞명사,胡椒,를 따다,選擇,명사,名詞,고추01
중급,고춧가루,插入를 넣다,名詞명사,紅辣椒粉,를 넣다,插入,명사,名詞,고춧가루
중급,고층,高層建築고층 빌딩,名詞명사,高層建築,고층 빌딩,高層建築,명사,名詞,고층
중급,고통,忍受을 견디다,名詞명사,疼痛,을 견디다,忍受,명사,名詞,고통
중급,고통스럽다,痛苦的表情고통스러운 표정,形容詞형용사,這很痛苦,고통스러운 표정,痛苦的表情,형용사,形容詞,고통스럽다
중급,곡,蕭邦的音樂쇼팽의 곡,名詞명사,歌曲,쇼팽의 곡,蕭邦的音樂,명사,名詞,곡02
중급,곡식,收割을 거두다,名詞명사,穀物,을 거두다,收割,명사,名詞,곡식
중급,곤란,遭受을 당하다,名詞명사,困難,을 당하다,遭受,명사,名詞,곤란
중급,곧다,腿다리가,形容詞형용사,直的,다리가,腿,형용사,形容詞,곧다01
중급,곧바로,立即處理곧바로 처리하다,副詞부사,直的,곧바로 처리하다,立即處理,부사,副詞,곧바로
중급,곧이어,盡快開始곧이어 시작하다,副詞부사,不久,곧이어 시작하다,盡快開始,부사,副詞,곧이어
중급,곧잘,經常這樣做곧잘 하다,副詞부사,常,곧잘 하다,經常這樣做,부사,副詞,곧잘
중급,곧장,直行곧장 가다,副詞부사,直接地,곧장 가다,直行,부사,副詞,곧장
중급,골,放入（足球）을 넣다(축구),名詞명사,目標,을 넣다(축구),放入（足球）,명사,名詞,골14
중급,골고루,維持均衡飲食골고루 먹다,副詞부사,均勻地,골고루 먹다,維持均衡飲食,부사,副詞,골고루
중급,골다,鼻子코를,動詞동사,骨質疏鬆症,코를,鼻子,동사,動詞,골다01
중급,골목,狹窄的小巷좁은 골목,名詞명사,胡同,좁은 골목,狹窄的小巷,명사,名詞,골목01
중급,골목길,行人徒步區을 걷다,名詞명사,關閉,을 걷다,行人徒步區,명사,名詞,골목길
중급,골프,高爾夫球手골프 선수,名詞명사,高爾夫球,골프 선수,高爾夫球手,명사,名詞,골프
중급,곰,動物동물,名詞명사,熊,동물,動物,명사,名詞,곰03
중급,곱다,花朵꽃이,形容詞형용사,美麗的,꽃이,花朵,형용사,形容詞,곱다02
중급,곱하다,7乘以37에 3을 곱하다,動詞동사,乘,7에 3을 곱하다,7乘以3,동사,動詞,곱하다
중급,곳곳,全國各地전국 곳곳,名詞명사,到處,전국 곳곳,全國各地,명사,名詞,곳곳
중급,공,數位숫자,名詞명사,球,숫자,數位,명사,名詞,공12
중급,공간,佔據을 차지하다,名詞명사,空間,을 차지하다,佔據,명사,名詞,공간05
중급,공감,獲得을 얻다,名詞명사,共情,을 얻다,獲得,명사,名詞,공감
중급,공개,擴大공개 강좌,名詞명사,發布,공개 강좌,擴大,명사,名詞,공개02
중급,공격,接收을 받다,名詞명사,攻擊,을 받다,接收,명사,名詞,공격02
중급,공공,機構공공 기관,名詞명사,民眾,공공 기관,機構,명사,名詞,공공02
중급,공공요금,這令人印象深刻。이 인상되다,名詞명사,公共事業費用,이 인상되다,這令人印象深刻。,명사,名詞,공공요금
중급,공공장소,使用를 이용하다,名詞명사,公共場所,를 이용하다,使用,명사,名詞,공공장소
중급,공과금,生產을 내다,名詞명사,水電費帳單,을 내다,生產,명사,名詞,공과금
중급,공급,接收을 받다,名詞명사,供應,을 받다,接收,명사,名詞,공급02
중급,공기,喝를 마시다,名詞명사,空氣,를 마시다,喝,명사,名詞,공기06
중급,공기,放入米飯에 밥을 담다,名詞명사,空氣,에 밥을 담다,放入米飯,명사,名詞,공기07
중급,공동,共同主辦공동 개최,名詞명사,空腔,공동 개최,共同主辦,명사,名詞,공동02
중급,공동체,屬於에 속하다,名詞명사,社群,에 속하다,屬於,명사,名詞,공동체
중급,공사,新建工程신축 공사,名詞명사,建造,신축 공사,新建工程,명사,名詞,공사02
중급,공손하다,禮貌態度공손한 태도,形容詞형용사,有禮貌的,공손한 태도,禮貌態度,형용사,形容詞,공손하다
중급,공식,官方公告공식 발표,名詞명사,官方的,공식 발표,官方公告,명사,名詞,공식01
중급,공업,這是逐漸形成的。이 발달하다,名詞명사,產業,이 발달하다,這是逐漸形成的。,명사,名詞,공업01
중급,공연,查看을 보다,名詞명사,表現,을 보다,查看,명사,名詞,공연02
중급,공연장,戶外表演場地야외 공연장,名詞명사,表演廳,야외 공연장,戶外表演場地,명사,名詞,공연장
중급,공적,公共機構공적 제도,形容詞和名詞관형사·명사,優點,공적 제도,公共機構,관형사·명사,形容詞和名詞,공적01
중급,공주,王子왕자,名詞명사,公主,왕자,王子,명사,名詞,공주01
중급,공중전화,公用電話亭공중전화 박스,名詞명사,公用電話,공중전화 박스,公用電話亭,명사,名詞,공중전화
중급,공지,轉動를 돌리다,名詞명사,通知,를 돌리다,轉動,명사,名詞,공지04
중급,공통,常見話題공통 화제,名詞명사,普通,공통 화제,常見話題,명사,名詞,공통
중급,공통점,尋找을 찾다,名詞명사,共同點,을 찾다,尋找,명사,名詞,공통점
중급,공포,感覺를 느끼다,名詞명사,恐怖,를 느끼다,感覺,명사,名詞,공포08
중급,공해,情況很嚴重。가 심각하다,名詞명사,污染,가 심각하다,情況很嚴重。,명사,名詞,공해01
중급,과,部門員工과의 직원,名詞명사,班級,과의 직원,部門員工,명사,名詞,과10
중급,과로,崩潰로 쓰러지다,名詞명사,拉緊,로 쓰러지다,崩潰,명사,名詞,과로01
중급,과목,記憶科目암기 과목,名詞명사,主題,암기 과목,記憶科目,명사,名詞,과목02
중급,과소비,減少를 줄이다,名詞명사,過度消費,를 줄이다,減少,명사,名詞,과소비
